s5 pm10,m pm10,s1 pm10,s2 pm10,s3 pm10,s4 pm10
68.4,102.7,83.2,0,0,102.9
70.9,103.1,85.1,0,0,98.2
72.8,99.7,81.4,0,0,101.4
75.2,102.8,76.9,0,0,101.4
75.1,101.3,76.7,0,0,102.8
76.7,101.4,76.2,0,0,103.6
77.4,104.7,77.7,0,0,103.8
73.2,102.7,74.5,0,0,106.2
73.2,101,75,0,0,103.8
70.6,105.2,72.1,0,0,102.6
74.5,103.9,71.3,0,0,100
73.4,104.3,69.6,0,0,98.1
73.4,104.3,69.6,0,0,98.1
75.7,105.3,68.3,0,0,94
74.3,106.7,66.5,0,0,95.3
75.7,101.2,71.5,0,0,98.3
75.4,103.4,73.7,0,0,97.9
77.5,96,75.8,0,0,96.3
78.5,92.8,79.4,0,0,102.7
83,95.8,79.9,0,0,102.9
84.8,94.4,80.9,0,0,102.7
84.2,91.4,78.4,0,0,102.6
85.8,87.6,80,0,0,108.8
86.5,94.2,80.2,0,0,110.8
82.8,95.9,78.3,0,0,104.9
75.6,88.5,77.8,0,0,106.1
77.4,90.9,77.3,0,0,105.9
76.3,91,77.2,0,0,106.8
75.3,89.6,74.1,0,0,100.8
71.9,88.3,74,0,0,103.3
76.7,90.8,74.1,0,0,103.1
77.6,91,75,0,0,101.9
77.5,91,75,0,0,102.9
78.8,93,77.3,0,0,100.9
78.6,98,76.8,0,0,105
80.1,97.2,78.9,0,0,103.2
78.4,98.5,81.8,0,0,106.8
80.8,94.6,85.3,0,0,106.6
78,100.4,82.6,0,0,103.1
77.9,96,79.2,0,0,101.2
75.3,94.6,80,0,0,97.9
75.6,89.6,75.6,0,0,93.8
75.5,92.3,76.8,0,0,89.1
75.4,93.7,73.8,0,0,89.1
79.4,88.3,75.8,0,0,87
83.6,91.4,79.5,0,0,85.8
86.9,98.1,82.6,0,0,83.8
85.9,99.1,83.8,0,0,82.5
87.9,94.3,81,0,0,83.2
88.8,94.8,81.2,0,0,82.3
88.3,92.4,79.8,0,0,86.3
83.5,94.1,75.9,0,0,86.7
80.8,89.3,73.9,0,0,89.1
82.1,90,75.3,0,0,91.4
84.4,92.5,74.3,0,0,90
85.6,92.3,75.1,0,0,88.3
84.8,90.8,75.1,0,0,90
85.5,90.2,77.2,0,0,97
86.8,87.4,79.5,0,0,96.1
90.6,90.7,78.2,0,0,98.5
90.6,90.7,78.2,0,0,98.5
81.6,97.4,73.6,0,0,99.9
82.5,100,75.6,0,0,96
80.2,105,75.3,0,0,91.2
80.2,106.9,72.8,0,0,94.3
74.3,108.3,72.4,0,0,96.1
76.5,105.6,75.3,0,0,92.3
77.9,102.2,74.2,0,0,90.2
73.9,102.7,78.2,0,0,92.4
73.6,98.2,75,0,0,94.3
75.2,98.6,74.6,0,0,91.3
77.2,94.3,76,0,0,87.4
79.1,94.5,74.3,0,0,87.9
80.8,97.7,76.2,0,0,94.5
84.4,96.8,75.1,0,0,92.8
83.9,91,75.3,0,0,94.2
86.7,92.3,78.8,0,0,92.4
90.9,96.1,77.1,0,0,90.3
90.7,98.9,79.4,0,0,90.8
88.7,93.6,80.4,0,0,87.1
89.6,91.7,75.2,0,0,86.1
90,100.9,74.8,0,0,82.4
87.7,103.2,70.4,0,0,82
82.1,98,70.5,0,0,82.4
82,98.2,73.6,0,0,85.2
82,100.4,72.9,0,0,88.2
79.9,100.2,75.6,0,0,91.7
84,93.5,77.3,0,0,95.7
83.3,90.8,79,0,0,100.5
85.6,95,80.6,0,0,103.3
85.9,88.3,78.3,0,0,98.1
84.4,91.2,84.1,0,0,94.6
86.3,92,85.2,0,0,92.9
81.6,91.2,82.4,0,0,90.3
82.1,91.4,81.7,0,0,89.1
82.5,92,83.5,0,0,86.9
80.9,96.3,78.4,0,0,88.8
81.4,99.2,74,0,0,89.2
83.3,96.7,70.7,0,0,89.1
88.6,95.4,71.8,0,0,87.6
87,98.3,73.8,0,0,83
85.4,95.1,73.6,0,0,80.6
85.6,98.4,78.1,0,0,84.2
87.7,94.3,75.1,0,0,88.7
85.3,96.6,78.1,0,0,91.4
81.1,99.8,77.5,0,0,96.1
78.9,93.2,76.9,0,0,98.9
78.8,94.8,74.5,0,0,101.7
78.8,94.8,74.5,0,0,101.7
76.6,86.5,74.4,0,0,94.5
75.4,86,74.8,0,0,91.1
77.2,84.6,72.9,0,0,89.7
81.1,87.8,78.6,0,0,87.5
79.4,88.9,79.3,0,0,89.6
81.5,89.1,83,0,0,87.9
78.1,92.5,81.8,0,0,89
78.8,92.7,81,0,0,86.8
75.8,96.3,85.4,0,0,83.7
70.6,95.4,79.8,0,0,86.4
69.4,92.3,81.7,0,0,86
67.6,92.4,78.1,0,0,90
66.8,92.1,77.6,0,0,92.4
67.6,93.7,77.9,0,0,96
66.4,92.4,75.9,0,0,99
70.7,91.3,74.8,0,0,99.1
72.6,91.3,71.7,0,0,97.5
73.4,88.2,71.2,0,0,96.7
74.7,88.6,76.6,0,0,93.7
73.6,88.2,76.1,0,0,91.8
77.5,86.4,75.5,0,0,88.8
78.6,88.2,82.1,0,0,90.8
78.6,86.6,87.5,0,0,89.4
75.8,85.9,88.4,0,0,86
77.8,92.4,82.3,0,0,84.5
77,89.7,82.5,0,0,88
75.8,93.6,82.6,0,0,88.6
71.9,99.1,76.2,0,0,81.8
70.5,103.4,71.3,0,0,79.3
71.2,102.3,74,0,0,80.3
69.8,98.2,74.8,0,0,79.9
72.4,98.7,77.4,0,0,77.8
74.1,96.8,83.8,0,0,81.4
77.1,94.9,80.6,0,0,80.9
78.6,92,80.2,0,0,80.5
78.8,90.2,80.6,0,0,81
79.6,96,80.9,0,0,82
77.8,93.4,79.3,0,0,82.7
77.8,88.6,75.6,0,0,82.7
75.3,81.8,77.1,0,0,87.8
74.5,82.5,80,0,0,88.8
74.9,81.5,76.1,0,0,89.5
75.5,83.6,75.9,0,0,92.7
74.7,81.7,76.9,0,0,90.1
73.9,87.4,76.1,0,0,94.4
73.5,87.5,77.4,0,0,92.1
74.1,86,74.6,0,0,92.1
73,85.5,73.7,0,0,90.7
71.6,84.1,77.5,0,0,88.1
78.3,86.3,74.7,0,0,90.3
81.1,82.8,76.5,0,0,84.5
82.5,79.5,73.2,0,0,85.6
82.4,82.8,76.6,0,0,84.6
84.5,83.6,80.6,0,0,84
85.3,83.7,76.3,0,0,82.4
78.2,83.5,76.4,0,0,81.4
77.4,82.9,75.3,0,0,79.8
76.2,87.2,74.4,0,0,76.7
76.3,86.4,73.8,0,0,79.2
77,83.7,72.1,0,0,78.5
82.8,82.2,75.5,0,0,78
86.4,80.5,73,0,0,76.7
84.1,79.6,75.7,0,0,78.3
82,77.9,77.4,0,0,82.6
80.4,80.6,75.4,0,0,82
76.8,80.2,74.2,0,0,82
69.3,79.5,71.8,0,0,83.2
66.3,85.5,73.3,0,0,87.3
69.2,88.1,74.5,0,0,91.2
71.7,87.2,77.1,0,0,89.9
72.3,85.6,79.3,0,0,91.6
72.8,81.5,82.5,0,0,90.1
73.9,80.3,86,0,0,96.1
74.2,76,88.8,0,0,91.9
68.6,79.1,87.9,0,0,90.2
69.3,81.6,85.8,0,0,91.5
69.3,80.8,81.3,0,0,91.5
68.3,83.9,86.6,0,0,89
65.6,86,84,0,0,83.8
67,81.2,80.2,0,0,84.6
68.2,79.9,81,0,0,84.5
68.2,75.2,78.9,0,0,86.3
67.7,76.6,80.7,0,0,86.9
69.8,75.9,77.4,0,0,88.7
70.3,77.9,77,0,0,90.4
70.4,79.3,79,0,0,91.4
71.4,77.2,76.2,0,0,90.4
69.7,80.4,76.4,0,0,90.3
69,83.5,74.8,0,0,90.6
65.2,79.1,78,0,0,89.3
65.4,79.7,73.9,0,0,91.1
68.8,81.6,75.3,0,0,90.8
68.3,81.9,79.9,0,0,90.1
67.2,79.5,77.6,0,0,84.8
69.3,76,77.5,0,0,87.9
71.9,78.6,72.6,0,0,88
72.3,80.7,76.6,0,0,84.7
68.9,83.3,75.4,0,0,85.8
69.6,87,72.1,0,0,85.8
66.7,92.9,75.3,0,0,83.4
63.4,89.5,71.5,0,0,79.1
